Anio;Mes;Max;Min;Media
2010;Enero;45,83;42,52;43,75
2010;Febrero;43,77;42,12;43,08
2010;Marzo;42,12;38,95;40,63
2010;Abril;50,08;39,54;44,23
2010;Mayo;48,21;41,6;44,04
2010;Junio;46,71;41,66;44,66
2010;Julio;46,71;42,28;43,74
2010;Agosto;42,66;35,43;39,19
2010;Septiembre;35,44;31,64;32,61
2010;Octubre;40,01;31,26;32,43
2010;Noviembre;47,21;40,01;43,55
2010;Diciembre;50,37;44,51;46,19
2011;Enero;49,96;44,79;45,94
2011;Febrero;50,26;44,49;46,66
2011;Marzo;50,15;45,29;46,85
2011;Abril;50,5;44,96;47,38
2011;Mayo;50,07;42,94;44,19
2011;Junio;46,57;37,28;41,99
2011;Julio;37,3;30,52;33,41
2011;Agosto;30,53;28,04;29,24
2011;Septiembre;28,05;26,11;26,8
2011;Octubre;27,31;26,12;26,83
2011;Noviembre;44,59;26,9;33,8
2011;Diciembre;47;41,77;44,93
2012;Enero;50,27;41,06;45,3
2012;Febrero;49,96;44,73;46,03
2012;Marzo;49,74;43,48;45,47
2012;Abril;50,01;44,24;46,42
2012;Mayo;45,89;41,85;44,24
2012;Junio;41,85;35,56;38,13
2012;Julio;35,57;27,38;31,27
2012;Agosto;27,38;24,62;25,65
2012;Septiembre;24,62;23,8;24,09
2012;Octubre;32,6;24;26,29
2012;Noviembre;45,21;32,61;42,08
2012;Diciembre;44,44;43,19;43,88
2013;Enero;56,58;15,13;30,73
2013;Febrero;53,5;27,89;33,83
2013;Marzo;42,91;25,91;30,17
2013;Abril;55,89;25,91;30,41
2013;Mayo;51,49;30,36;34,11
2013;Junio;39,11;25,95;28,91
2013;Julio;49,91;25,19;31,36
2013;Agosto;33,14;19,56;22,51
2013;Septiembre;45,41;25,48;29,58
2013;Octubre;40,88;19,98;27,12
2013;Noviembre;55,26;28,35;32,53
2013;Diciembre;44,8;30,09;33,47
2014;Enero;52,98;29,26;33,85
2014;Febrero;42,72;30,75;34
2014;Marzo;53,61;32,82;38,09
2014;Abril;43,9;27,23;31,89
2014;Mayo;50,42;32,79;36,83
2014;Junio;36,82;23,3;30,16
2014;Julio;23,32;12,5;15,64
2014;Agosto;12,5;9,9;10,94
2014;Septiembre;11,6;9,2;9,83
2014;Octubre;35;10,6;19,36
2014;Noviembre;42,6;27,1;31,03
2014;Diciembre;43,6;26,2;30,32
2015;Enero;34,2;19,6;25,41
2015;Febrero;37,8;23,5;28,05
2015;Marzo;54,8;27,1;33,15
2015;Abril;59,2;22;26,05
2015;Mayo;24,6;18,3;20,73
2015;Junio;18,5;12,6;16,04
2015;Julio;12,6;9,4;10,59
2015;Agosto;9,5;6,7;7,83
2015;Septiembre;6,7;5,8;6,15
2015;Octubre;19,7;5,7;11,33
2015;Noviembre;26,1;14,5;20,09
2015;Diciembre;21,5;10,7;15,72
2016;Enero;28,1;9,7;18,26
2016;Febrero;20,6;15,8;18,84
2016;Marzo;56,4;19,3;34,59
2016;Abril;52;35,9;40,01
2016;Mayo;50,6;33,8;38,78
2016;Junio;43,1;33,9;37,6
2016;Julio;34,8;27,3;30,78
2016;Agosto;27,3;19,9;23,42
2016;Septiembre;20;17,4;18,52
2016;Octubre;49,7;17,4;33,57
2016;Noviembre;39,2;32,7;35,67
2016;Diciembre;52,2;34,2;38,01
2017;Enero;50,7;35,6;39,34
2017;Febrero;50,6;34,8;39,08
2017;Marzo;51;38,1;40,94
2017;Abril;51,4;37,2;39,51
2017;Mayo;50,6;35,9;40,02
2017;Junio;46,2;33;37,71
2017;Julio;36,8;26,4;31,2
2017;Agosto;26,4;20,4;22,76
2017;Septiembre;20,4;15,9;18,14
2017;Octubre;43,1;15,9;21,48
2017;Noviembre;51,1;29,1;33,24
2017;Diciembre;50,7;33,2;36,34
2018;Enero;43,1;32;37,02
2018;Febrero;51,1;31,4;37,37
2018;Marzo;50,1;32,4;37,14
2018;Abril;43,3;35;37,55
2018;Mayo;49,1;36,3;38,47
2018;Junio;40,7;29,4;32,91
2018;Julio;36,6;23,9;28,43
2018;Agosto;42;23,4;29,26
2018;Septiembre;43,7;20,9;23,3
2018;Octubre;50;29,1;35,11
2018;Noviembre;50,2;37,5;39,43
2018;Diciembre;49,9;31;37,97
2019;Enero;39,7;28,8;34,05
2019;Febrero;50,7;35,3;38,69
2019;Marzo;50,5;36,4;39,4
2019;Abril;50,4;36,8;40,12
2019;Mayo;39,7;33,4;36,04
2019;Junio;42;32,2;36,81
2019;Julio;32,2;24,4;27,63
2019;Agosto;24,4;16,7;20,4
2019;Septiembre;44,2;14,3;16,56
2019;Octubre;38,3;27,8;31,85
2019;Noviembre;51,3;32,5;37,33
2019;Diciembre;51,7;33,1;37,53
2020;Enero;51;31;37
2020;Febrero;51;32;37
2020;Marzo;50;36;38
2020;Abril;50;35;39
2020;Mayo;40;33;37
2020;Junio;41;32;36
2020;Julio;35;32;34
2020;Agosto;33;25;27
2020;Septiembre;35;22;26
2020;Octubre;49;20;27
2020;Noviembre;52;27;33
2020;Diciembre;51;37;39
